phrase,count,phrase_en
dar es salaam,2953,S Salam House
kwa ajili ya,2782,for
mwaka huu,1389,This year
kwenye uwanja wa,1040,On the field of
jijini dar es,938,In Dar es
ni pamoja na,896,is together with
kwa mujibu wa,785,According to
umri wa miaka,769,Age
es salaam,765,are you Salaam
wa mkoa wa,686,of the region of
ya taifa ya,648,of the nation of
rais john magufuli,626,President John Magufuli
waandishi wa habari,592,Press
mkuu wa mkoa,586,Regional Commissioner
nje ya nchi,572,abroad
mwenye umri wa,549,The age of
katika mchezo wa,522,In the game of
timu ya taifa,518,National team
dola za marekani,508,US dollars
wa ligi kuu,507,of the Premier League
wa zamani wa,485,the former of
uwanja wa taifa,473,National Stadium
baada ya,470,after
katika kipindi cha,468,In the period of
wa kati wa,467,Weak value
waziri mkuu,460,Prime Minister
kiungo wa kati,459,Central link
dar es,458,Giving is
kwa lengo la,447,For the purpose of
kwa kushirikiana na,421,in conjunction with
na waandishi wa,403,And the authors of
kwa mara ya,396,for the time
ya dar es,388,and to give is
ya sh bilioni,385,of Shillings
upande wake,381,its side
000 kwa,381,000 to
wa wilaya ya,377,of the district
ikiwa ni pamoja,375,if included
mara ya kwanza,368,The first time
ya kombe la,364,of the Cup
kwa upande wa,356,In terms of
ya sh milioni,354,of Shs million
wa timu ya,352,of the team
ligi ya mabingwa,347,Champions League
naibu waziri wa,342,Deputy Minister of
mkuu wa wilaya,338,district Commissioner
vyombo vya habari,333,Press
wa timu hiyo,331,of the team
kwa njia ya,328,by means of
mwaka jana,328,last year
ya wilaya ya,323,of the district of
jeshi la polisi,323,Police Force
na kuongeza kuwa,322,and add that
katika dakika ya,318,in the minute of
na gazeti hili,318,And this magazine
katika uwanja wa,318,In the field of
es salaam na,315,S Salam Na
wa kimataifa wa,313,International of
rais magufuli,310,President Magufuli
ikiwa ni,310,If it is
mwishoni mwa wiki,309,on the weekend
sawa na asilimia,305,equal to a percentage
moja kwa moja,304,one by one
shirikisho la soka,298,Football Federation
ya afrika mashariki,297,of East Africa
na waziri wa,294,And the Minister of
ndani na nje,292,in and out
hata hivyo,292,However
zaidi ya sh,289,More than Shs
manchester united,288,manchester united
lakini pia,283,But too
ya maendeleo ya,283,of the development of
chuo kikuu cha,278,University of
ya awamu ya,274,of phase
ikiwa na pointi,273,if have points
mkuu wa,272,Head of
na nje ya,270,and out of
mwaka wa fedha,268,the financial year
katibu mkuu wa,265,The Secretary -General of
kombe la shirikisho,263,Federal Cup
na kampuni ya,262,and company
katika sekta ya,262,In the industry
serikali za mitaa,260,Local Government
halmashauri ya wilaya,258,District Council
katika mchezo huo,257,In that game
katika eneo la,257,In the area of
kwa kiasi kikubwa,254,to a large extent
ni miongoni mwa,252,are among
wa kampuni ya,248,of the company
ligi kuu tanzania,247,Premier League in Tanzania
serikali ya awamu,246,Phase government
awamu ya tano,245,Phase five
na baadhi ya,243,And some
ya ujenzi wa,241,of the construction of
waziri wa,241,Minister of
mshambuliaji wa,240,The attacker of
nafasi ya pili,238,Second place
jumuiya ya afrika,237,African Community
wa chama cha,237,of the party
ya ligi ya,234,of the league
